aperture_radius,lognormal,beam_wandering,elliptical_beam,total_probability,beta,beta_total_probability,num_total_probability,num_beta_total_probability,num_elliptical_beam
1.000e-02,6.622e-02,4.592e-01,3.856e-01,6.019e-02,3.011e-01,2.752e-01,6.455e-02,1.777e-01,4.014e-01
2.000e-02,5.272e-02,3.700e-01,3.564e-01,4.541e-02,1.746e-01,1.494e-01,6.831e-02,9.830e-02,3.943e-01
3.000e-02,9.029e-02,3.482e-01,3.417e-01,7.974e-02,9.380e-02,7.331e-02,8.935e-02,8.002e-02,3.586e-01
4.000e-02,1.027e-01,4.089e-01,3.090e-01,9.263e-02,7.486e-02,6.725e-02,9.411e-02,7.721e-02,3.283e-01
5.000e-02,1.102e-01,3.247e-01,2.839e-01,1.003e-01,6.237e-02,5.073e-02,1.016e-01,8.494e-02,2.907e-01
6.000e-02,1.150e-01,4.128e-01,2.638e-01,1.036e-01,4.888e-02,3.568e-02,1.046e-01,9.072e-02,2.877e-01
7.000e-02,1.186e-01,3.798e-01,2.721e-01,1.069e-01,3.408e-02,2.221e-02,1.019e-01,9.140e-02,3.037e-01
8.000e-02,1.208e-01,4.312e-01,2.842e-01,1.090e-01,2.314e-02,2.769e-02,1.021e-01,9.431e-02,3.157e-01
9.000e-02,1.224e-01,4.219e-01,2.976e-01,1.088e-01,2.620e-02,3.334e-02,1.026e-01,9.661e-02,3.303e-01
1.000e-01,1.219e-01,4.627e-01,3.127e-01,1.073e-01,2.993e-02,3.857e-02,1.012e-01,9.644e-02,3.430e-01
1.100e-01,1.215e-01,4.420e-01,3.233e-01,1.060e-01,3.456e-02,4.338e-02,1.009e-01,9.698e-02,3.616e-01
1.200e-01,1.197e-01,4.862e-01,3.364e-01,1.038e-01,4.095e-02,4.933e-02,1.003e-01,9.682e-02,3.672e-01
1.300e-01,1.170e-01,4.818e-01,3.466e-01,1.054e-01,4.773e-02,5.807e-02,9.854e-02,9.550e-02,3.757e-01
1.400e-01,1.251e-01,4.838e-01,3.575e-01,1.130e-01,5.394e-02,6.375e-02,9.751e-02,9.495e-02,3.882e-01
1.500e-01,1.347e-01,5.133e-01,3.651e-01,1.222e-01,5.961e-02,7.102e-02,9.608e-02,9.372e-02,4.009e-01
1.600e-01,1.447e-01,5.187e-01,3.704e-01,1.271e-01,6.609e-02,7.823e-02,9.484e-02,9.257e-02,4.069e-01
1.700e-01,1.535e-01,5.319e-01,3.754e-01,1.343e-01,7.142e-02,8.407e-02,9.312e-02,9.116e-02,4.091e-01
1.800e-01,1.628e-01,5.494e-01,3.779e-01,1.406e-01,7.719e-02,9.051e-02,9.106e-02,8.926e-02,4.130e-01
1.900e-01,1.715e-01,5.369e-01,3.772e-01,1.440e-01,8.296e-02,9.603e-02,8.820e-02,8.664e-02,4.136e-01
2.000e-01,1.800e-01,5.611e-01,3.776e-01,1.509e-01,8.817e-02,1.016e-01,8.552e-02,8.420e-02,4.067e-01
2.100e-01,1.876e-01,5.577e-01,3.717e-01,1.534e-01,9.281e-02,1.070e-01,8.250e-02,8.143e-02,4.067e-01
2.200e-01,1.942e-01,5.615e-01,3.667e-01,1.545e-01,9.834e-02,1.107e-01,7.916e-02,7.813e-02,4.007e-01
2.300e-01,2.001e-01,5.377e-01,3.559e-01,1.540e-01,1.076e-01,1.146e-01,7.558e-02,7.474e-02,3.890e-01
2.400e-01,2.052e-01,5.201e-01,3.384e-01,1.523e-01,1.163e-01,1.220e-01,7.248e-02,7.174e-02,3.702e-01
2.500e-01,2.093e-01,5.086e-01,3.281e-01,1.490e-01,1.253e-01,1.295e-01,6.855e-02,6.805e-02,3.444e-01
2.600e-01,2.134e-01,5.052e-01,3.066e-01,1.452e-01,1.338e-01,1.358e-01,6.511e-02,6.458e-02,3.316e-01
2.700e-01,2.164e-01,4.694e-01,2.850e-01,1.360e-01,1.416e-01,1.397e-01,6.145e-02,6.127e-02,3.180e-01
2.800e-01,2.190e-01,4.043e-01,2.624e-01,1.301e-01,1.489e-01,1.435e-01,5.783e-02,5.724e-02,2.845e-01
2.900e-01,2.211e-01,3.725e-01,2.391e-01,1.218e-01,1.563e-01,1.457e-01,5.409e-02,5.366e-02,2.506e-01
3.000e-01,2.221e-01,3.100e-01,2.143e-01,1.249e-01,1.621e-01,1.438e-01,5.031e-02,5.037e-02,2.274e-01
3.100e-01,2.223e-01,2.117e-01,1.848e-01,1.251e-01,1.681e-01,1.389e-01,4.656e-02,4.643e-02,2.079e-01
3.200e-01,2.213e-01,1.647e-01,1.602e-01,1.200e-01,1.729e-01,1.298e-01,4.348e-02,4.317e-02,1.809e-01
3.300e-01,2.206e-01,1.050e-01,1.465e-01,1.100e-01,1.765e-01,1.174e-01,4.399e-02,3.991e-02,1.513e-01
3.400e-01,2.195e-01,8.542e-02,1.865e-01,,1.798e-01,,4.436e-02,3.677e-02,1.356e-01
3.500e-01,2.171e-01,1.766e-01,2.352e-01,,1.820e-01,,4.431e-02,3.537e-02,1.751e-01
3.600e-01,2.147e-01,2.628e-01,2.800e-01,,1.836e-01,,4.424e-02,3.512e-02,2.235e-01
3.700e-01,2.121e-01,3.414e-01,3.293e-01,,1.848e-01,,4.368e-02,3.465e-02,2.717e-01
3.800e-01,2.089e-01,4.121e-01,3.783e-01,,1.850e-01,,4.389e-02,3.484e-02,3.234e-01
3.900e-01,2.050e-01,4.772e-01,4.277e-01,,1.848e-01,,4.305e-02,3.515e-02,3.695e-01
4.000e-01,2.018e-01,5.348e-01,4.697e-01,,1.815e-01,,4.161e-02,3.444e-02,4.185e-01
4.100e-01,1.980e-01,5.901e-01,5.185e-01,,1.815e-01,,4.234e-02,3.353e-02,4.673e-01
4.200e-01,1.936e-01,6.383e-01,5.655e-01,,1.789e-01,,4.044e-02,3.212e-02,5.066e-01
4.300e-01,1.894e-01,6.780e-01,6.013e-01,,1.759e-01,,3.986e-02,3.158e-02,5.445e-01
4.400e-01,1.863e-01,7.170e-01,6.439e-01,,1.707e-01,,3.716e-02,2.932e-02,5.920e-01
4.500e-01,1.828e-01,7.460e-01,6.783e-01,,1.683e-01,,3.630e-02,2.713e-02,6.246e-01
4.600e-01,1.771e-01,7.772e-01,7.085e-01,,1.663e-01,,3.681e-02,2.730e-02,6.543e-01
4.700e-01,1.728e-01,8.027e-01,7.400e-01,,1.613e-01,,4.471e-02,3.401e-02,6.864e-01
4.800e-01,1.697e-01,8.241e-01,7.664e-01,,1.555e-01,,5.373e-02,4.502e-02,7.177e-01
4.900e-01,1.662e-01,8.452e-01,7.920e-01,,1.503e-01,,6.801e-02,5.713e-02,7.410e-01
5.000e-01,1.621e-01,8.620e-01,8.164e-01,,1.441e-01,,8.068e-02,7.084e-02,7.685e-01
